,Suspended Matter
2020-01-01,0.4377184279421671
2020-01-01,
2020-01-02,0.5175221503307597
2020-01-04,0.5450293166212588
2020-01-05,0.6503258606328084
2020-01-05,0.5092209229466145
2020-01-06,0.4502194341634256
2020-01-07,0.5310296575946948
2020-01-08,0.567483992909699
2020-01-09,0.624795456893301
2020-01-10,0.47405618452099013
2020-01-11,0.6153555504156766
2020-01-12,0.5879572761532788
2020-01-13,0.39785846225961236
2020-01-14,0.6169708421330785
2020-01-15,0.4608595467921724
2020-01-16,0.4076909167050285
2020-01-17,0.5806830677909585
2020-01-18,0.6515822393371079
2020-01-19,0.6196610380628192
2020-01-20,0.3748296769431208
2020-01-20,0.482843703644169
2020-01-21,0.617614370490802
2020-01-22,0.455216438323141
2020-01-23,0.6292211283304388
2020-01-24,0.5532469063617921
2020-01-24,
2020-01-25,0.505156509445319
2020-01-27,0.523970946847999
2020-01-28,0.636496735690745
2020-01-28,0.4871030429971701
2020-01-29,0.636930727109555
2020-01-31,0.6392521050048412
2020-02-01,0.6468005622206391
2020-02-01,0.529711755566156
2020-02-02,0.47612913078921454
2020-02-03,0.5263764883378632
2020-02-04,0.5322852669254166
2020-02-05,0.40192507565037716
2020-02-06,0.4719126466269115
2020-02-07,0.44835271064807486
2020-02-08,0.523305526410431
2020-02-09,0.44329581989917466
2020-02-10,0.4635193714742399
2020-02-11,0.4217016178357197
2020-02-12,0.5455032713519505
2020-02-13,0.4139475298728055
2020-02-14,0.4917182744225128
2020-02-15,0.4352037497392108
2020-02-16,0.41318031413223244
2020-02-16,0.44509929658115954
2020-02-17,0.5169442875173649
2020-02-18,0.4641812646554105
2020-02-19,0.5294100788980579
2020-02-20,0.5844752965624647
2020-02-20,
2020-02-21,0.5178689123446015
2020-02-23,0.5291072809004481
2020-02-24,0.6146185076235222
2020-02-24,0.5266487854266508
2020-02-25,0.488703766298981
2020-02-27,0.5249450385683585
2020-02-28,0.5822917860262603
2020-02-29,0.5520745927821108
2020-03-01,0.5169982689163226
2020-03-02,0.499577401645193
2020-03-03,0.47695748524348336
2020-03-04,0.4784792355697002
2020-03-05,0.4550365532929661
2020-03-06,0.4781258712758772
2020-03-07,
2020-03-07,0.43787567647705533
2020-03-08,0.6408793820432027
2020-03-09,0.6296954550818277
2020-03-10,0.39354937644790533
2020-03-11,0.4438346648885311
2020-03-12,0.6366879100204113
2020-03-13,0.4281046136790382
2020-03-14,0.4653385081734962
2020-03-14,0.6316548837493842
2020-03-15,0.635340975831353
2020-03-16,0.4480477007365282
2020-03-17,0.636959128786676
2020-03-18,0.5510478877122826
2020-03-18,
2020-03-19,0.4313631749408556
2020-03-21,0.5143495737221668
2020-03-22,0.4352944832555936
2020-03-22,0.5465280433406556
2020-03-23,0.4821563340154012
2020-03-25,0.5218372005130123
2020-03-26,0.5208106175693238
2020-03-26,0.4428280253565373
2020-03-27,0.5776171281097863
2020-03-28,0.5473041298517365
2020-03-29,0.5160086815609192
2020-03-30,0.6293711231506778
2020-03-31,0.544173046707357
2020-04-01,0.42602642502537386
2020-04-02,0.5581322401535088
2020-04-03,
2020-04-03,0.508341664836951
2020-04-04,0.4454481704294786
2020-04-05,0.43745452489756365
2020-04-06,0.5946567067848781
2020-04-07,0.42776733663425304
2020-04-08,0.4736496056153027
2020-04-09,0.4436996093066082
2020-04-10,0.5289200932041004
2020-04-10,0.47711610147987504
2020-04-11,0.49560639124764605
2020-04-12,0.4330101916849702
2020-04-13,0.5552818811768672
2020-04-14,0.5666994815977201
2020-04-15,
2020-04-17,0.5263824797974646
2020-04-18,0.502205348780729
2020-04-18,0.6171063850446329
2020-04-19,0.5043031188607325
2020-04-21,0.5287030280075745
2020-04-22,0.5175850332393451
2020-04-22,0.47603492904357453
2020-04-23,0.4661297849217457
2020-04-24,0.5562793934929824
2020-04-25,0.555582528294648
2020-04-26,0.47611390926928737
2020-04-27,0.60016011586055
2020-04-28,0.48741427234434415
2020-04-29,0.5321439945456228
2020-04-30,0.4698285561890536
2020-05-01,0.4970955928109046
2020-05-02,0.4485496376754107
2020-05-03,0.4446986464072769
2020-05-04,0.48969964572207764
2020-05-05,0.5270024046701106
2020-05-06,0.4932446417433373
2020-05-07,0.500837148116572
2020-05-07,0.45755489181823394
2020-05-08,0.5338057486443667
2020-05-09,0.4794156701035876
2020-05-10,0.5178829618940693
2020-05-11,0.6261885473849754
2020-05-11,
2020-05-12,0.5481883791102489
2020-05-14,0.5240318722303271
2020-05-15,0.5182689312470891
2020-05-15,0.4655608510576364
2020-05-16,0.4983762017324509
2020-05-18,0.5219336082923096
2020-05-19,0.5463278050309338
2020-05-19,0.44243689891821675
2020-05-20,0.4988633552321843
2020-05-21,0.5424266464892941
2020-05-22,0.5876368172781599
2020-05-23,0.42347378934835417
2020-05-24,0.5199471191308411
2020-05-25,0.4478236025232703
2020-05-26,0.5631682818063255
2020-05-27,0.4771458375448567
2020-05-28,0.4897731053381934
2020-05-29,0.43006351308410445
2020-05-30,0.6228192807285167
2020-05-31,0.4922336314174163
2020-06-01,0.6330076107366678
2020-06-02,0.6346636514712077
2020-06-03,0.45584724182978553
2020-06-03,0.39456605298078906
2020-06-04,0.7133967062265008
2020-06-05,0.612024634208204
2020-06-06,0.5122814745079968
2020-06-07,0.5283985340313049
2020-06-07,
2020-06-08,0.6090098009141034
2020-06-10,0.6099176323588844
2020-06-11,0.5330605730760061
2020-06-11,0.4553793545912165
2020-06-12,0.5486007095456623
2020-06-14,0.5177169941281863
2020-06-15,0.5113750835665087
2020-06-15,0.5336252160185336
