,dom
2020-01-01,0.35653139654845106
2020-01-01,
2020-01-02,0.44942635694383554
2020-01-04,0.43018925961213084
2020-01-05,0.579880778141984
2020-01-05,0.4067395715766039
2020-01-06,0.39225884329323835
2020-01-07,0.4106434253868723
2020-01-08,0.48127984748575264
2020-01-09,0.562413260074038
2020-01-10,0.4152029410399888
2020-01-11,0.5443958787793045
2020-01-12,0.5348963456749954
2020-01-13,0.30332763369044735
2020-01-14,0.5593993762295191
2020-01-15,0.3617651496992449
2020-01-16,0.31289469483502325
2020-01-17,0.48165642740102255
2020-01-18,0.6030921920832433
2020-01-19,0.544535139751192
2020-01-20,0.2857760969081507
2020-01-20,0.3625502629303729
2020-01-21,0.5563826872378566
2020-01-22,0.3870052731716433
2020-01-23,0.5701250167373634
2020-01-24,0.4803673904605075
2020-01-24,
2020-01-25,0.44907794352085073
2020-01-27,0.4240958191340653
2020-01-28,0.598582655789444
2020-01-28,0.39726359030127606
2020-01-29,0.5840199595444218
2020-01-31,0.5794564130832696
2020-02-01,0.6018116419350756
2020-02-01,0.4579564728811471
2020-02-02,0.4146078750763491
2020-02-03,0.4072781999360949
2020-02-04,0.47118405987015777
2020-02-05,0.3226776753304078
2020-02-06,0.40787110739773585
2020-02-07,0.3418100701719263
2020-02-08,0.4422558411310015
2020-02-09,0.3345615373159305
2020-02-10,0.3957882593693508
2020-02-11,0.33029722813183005
2020-02-12,0.4742658341922299
2020-02-13,0.3123414893914514
2020-02-14,0.42504964054639205
2020-02-15,0.33526470050989693
2020-02-16,0.3291109688405001
2020-02-16,0.33564500570634764
2020-02-17,0.44774451702333495
2020-02-18,0.38748100965788324
2020-02-19,0.42611622743858796
2020-02-20,0.5221275874995018
2020-02-20,
2020-02-21,0.4521803170183049
2020-02-23,0.4248944101936925
2020-02-24,0.5452412277746491
2020-02-24,0.45645756752096756
2020-02-25,0.423541653205482
2020-02-27,0.42111729683707216
2020-02-28,0.5121777250714968
2020-02-29,0.46689031527174624
2020-03-01,0.4036574947540021
2020-03-02,0.4566009251342347
2020-03-03,0.388353213155267
2020-03-04,0.44204726524378224
2020-03-05,0.38528448712039515
2020-03-06,0.3822445356429399
2020-03-07,
2020-03-07,0.3520270895906745
2020-03-08,0.6033559092826113
2020-03-09,0.583129303119307
2020-03-10,0.33066479568842416
2020-03-11,0.36174089877143706
2020-03-12,0.5946704577969056
2020-03-13,0.3461028499199058
2020-03-14,0.3601754329996567
2020-03-14,0.5896058528404304
2020-03-15,0.5864371137511878
2020-03-16,0.392175387339015
2020-03-17,0.5798351522304891
2020-03-18,0.5274427715664386
2020-03-18,
2020-03-19,0.3994719757677904
2020-03-21,0.44385763504058495
2020-03-22,0.3761475968204761
2020-03-22,0.4949542190863603
2020-03-23,0.44847040545003836
2020-03-25,0.446724920733966
2020-03-26,0.4950686800017531
2020-03-26,0.3764428213994443
2020-03-27,0.5275791931021553
2020-03-28,0.46713612520166087
2020-03-29,0.5045322950438478
2020-03-30,0.5832076438368337
2020-03-31,0.5121605966670295
2020-04-01,0.3863923212332986
2020-04-02,0.5451182069619759
2020-04-03,
2020-04-03,0.44701536411778736
2020-04-04,0.4063739933810018
2020-04-05,0.3843523740923121
2020-04-06,0.5475311092685473
2020-04-07,0.35832437982190524
2020-04-08,0.42593016128749706
2020-04-09,0.3904874915875867
2020-04-10,0.4795047781075486
2020-04-10,0.3976595226672504
2020-04-11,0.45545602488941056
2020-04-12,0.3855401404523426
2020-04-13,0.5166276982786638
2020-04-14,0.5631457819493962
2020-04-15,
2020-04-17,0.4660326188933982
2020-04-18,0.4705429958572672
2020-04-18,0.5803175567759237
2020-04-19,0.48534395820336235
2020-04-21,0.47560011406434133
2020-04-22,0.49802490444497804
2020-04-22,0.440255226999072
2020-04-23,0.44119383577777654
2020-04-24,0.5011515338297505
2020-04-25,0.5406148167069382
2020-04-26,0.42430208722971335
2020-04-27,0.5603158114171928
2020-04-28,0.4318288792561791
2020-04-29,0.5132211917540141
2020-04-30,0.4032482607997107
2020-05-01,0.4419220266650189
2020-05-02,0.39958881994679396
2020-05-03,0.4052859060189965
2020-05-04,0.3990197064119479
2020-05-05,0.5246052734157931
2020-05-06,0.44361502678169207
2020-05-07,0.4417665485816992
2020-05-07,0.4241690201832376
2020-05-08,0.5337665828731997
2020-05-09,0.46453208620871633
2020-05-10,0.4964987814858444
2020-05-11,0.597132851085285
2020-05-11,
2020-05-12,0.54652281388397
2020-05-14,0.4929028055584703
2020-05-15,0.5153911190386018
2020-05-15,0.4344712947640345
2020-05-16,0.4842646189901311
2020-05-18,0.47384661722517774
2020-05-19,0.5346290606862459
2020-05-19,0.4242682513075382
2020-05-20,0.4926413578505705
2020-05-21,0.4973798833054596
2020-05-22,0.6027196031473945
2020-05-23,0.4073482102183058
2020-05-24,0.4979571919295434
2020-05-25,0.4384093441887949
2020-05-26,0.5689253353586923
2020-05-27,0.4398527352076595
2020-05-28,0.4819865064670509
2020-05-29,0.424473863852766
2020-05-30,0.5911504076695273
2020-05-31,0.42775487606699036
2020-06-01,0.5932774504044607
2020-06-02,0.5945837502540763
2020-06-03,0.3828484517844365
2020-06-03,0.3821246229308047
2020-06-04,0.8132152244426697
2020-06-05,0.5799943901009827
2020-06-06,0.46802262797413396
2020-06-07,0.5248247271213358
2020-06-07,
2020-06-08,0.5730103846053779
2020-06-10,0.5616155114253412
2020-06-11,0.5018382227622746
2020-06-11,0.43632980828146367
2020-06-12,0.5120316722038156
2020-06-14,0.44532884949195617
2020-06-15,0.46055945575744306
2020-06-15,0.4931379586277082
