,dom
2020-01-01,0.6007369342067587
2020-01-02,0.4229272667094787
2020-01-03,0.5423720419286705
2020-01-04,0.5768545032980147
2020-01-05,0.6371780451090621
2020-01-06,0.5306189270990115
2020-01-07,0.4826342095798153
2020-01-08,0.596047378499417
2020-01-09,0.59771035853575
2020-01-10,0.49998543959224484
2020-01-11,0.4868935458972945
2020-01-12,0.6297075762451962
2020-01-13,0.43741652846882667
2020-01-13,0.42458589723406653
2020-01-14,
2020-01-15,0.6143744547075526
2020-01-16,0.48145592453482267
2020-01-17,
2020-01-17,0.5856443613548337
2020-01-18,0.5778239046488624
2020-01-20,0.5987287505685508
2020-01-21,0.4932946836363432
2020-01-21,0.601945899321351
2020-01-22,0.5561369024905091
2020-01-24,0.5259864853746495
2020-01-25,0.5607175470002035
2020-01-25,0.47429168920814185
2020-01-26,0.5496930382922193
2020-01-27,0.440263861736978
2020-01-28,0.5543138638090096
2020-01-29,0.46838710401980777
2020-01-30,0.5142105807216295
2020-01-31,0.5865560654612256
2020-02-01,0.5717441329595669
2020-02-02,0.4777630680813457
2020-02-03,0.4815046528893333
2020-02-04,0.4445324017364282
2020-02-05,0.45818388973834207
2020-02-06,0.4635771164169021
2020-02-07,0.47705207531847427
2020-02-08,0.47330658779779583
2020-02-09,0.4199771129078709
2020-02-09,0.465682950991751
2020-02-10,
2020-02-11,0.5255598117012531
2020-02-12,0.46695481666218397
2020-02-13,0.48232836986639377
2020-02-13,
2020-02-14,0.5510119902747833
2020-02-16,0.48956203911612456
2020-02-17,0.5388823109838816
2020-02-17,0.6051732370753887
2020-02-18,0.5204129549422157
2020-02-20,0.4554277844089228
2020-02-21,0.5379236505345236
2020-02-21,0.5541847005597323
2020-02-22,0.5545317594012856
2020-02-23,0.5600625112730259
2020-02-24,0.6378043008848986
2020-02-25,0.4430066970970598
2020-02-26,0.5005830902705668
2020-02-27,0.6232521916936475
2020-02-28,0.610520855663466
2020-02-29,0.48519259931096514
2020-03-01,0.5299712335263869
2020-03-02,0.4826128878276385
2020-03-03,0.4826732739455793
2020-03-04,0.49000473441343034
2020-03-05,0.6182944987833631
2020-03-06,0.5158288847045113
2020-03-07,0.45290374345286205
2020-03-07,0.48423697902751806
2020-03-08,
2020-03-09,0.6008785283953717
2020-03-10,0.6056219927817471
2020-03-11,0.5938423403578528
2020-03-11,
2020-03-12,0.5036821397680012
2020-03-14,0.5095500679633832
2020-03-15,0.5158805885046217
2020-03-15,0.5820496249333624
2020-03-16,0.602827803565711
2020-03-18,0.5996767777593153
2020-03-19,0.5138460844079948
2020-03-19,0.6333940886628422
2020-03-20,0.6069840845307842
2020-03-21,0.49905589484594426
2020-03-22,0.5922805199349807
2020-03-23,0.5463494861845046
2020-03-24,0.5458292139567195
2020-03-25,0.5180203621458613
2020-03-26,0.626821293867181
2020-03-27,0.5334246684127694
2020-03-28,0.5599907020039163
2020-03-29,0.5217689432883961
2020-03-30,0.5242262427610949
2020-03-31,0.5151684260414131
2020-04-01,0.551226750699035
2020-04-02,0.5667593648224841
2020-04-03,0.5205316890932735
2020-04-03,0.4956900656247446
2020-04-04,
2020-04-05,0.5870465305183435
2020-04-06,0.548845999809276
2020-04-07,
2020-04-07,0.49561047467923103
2020-04-08,0.6049956188833423
2020-04-10,0.5380063739824087
2020-04-11,0.6591404185042404
2020-04-11,0.5976530334644183
2020-04-12,0.614134693598633
2020-04-14,0.5171330562527359
2020-04-15,0.6439916269313353
2020-04-15,0.596437828498835
2020-04-16,0.6182249372701227
2020-04-17,0.5068884590615941
2020-04-18,0.64698177638686
2020-04-19,0.5689384669259346
2020-04-20,0.5933444385921711
2020-04-21,0.5609528610601064
2020-04-22,0.6056925164272188
2020-04-23,0.5829263913737184
2020-04-24,0.5810560759773071
2020-04-25,0.5471828511582544
2020-04-26,0.5185454036791478
2020-04-27,0.5762451259472331
2020-04-28,0.5383861124631912
2020-04-29,0.5621784231160787
2020-04-30,0.5229043026932436
2020-04-30,0.5232753252171063
2020-05-01,
2020-05-02,0.5543577281648256
2020-05-03,0.5565454495311898
2020-05-04,0.5172715992617855
2020-05-04,
2020-05-05,0.7197759947461785
2020-05-07,0.5457555889610743
2020-05-08,0.6158357029267997
2020-05-08,0.6119503684103017
2020-05-09,0.6604669094686257
2020-05-11,0.5525351121571981
2020-05-12,0.5865120638869009
2020-05-12,0.6313465242092051
2020-05-13,0.560226506688864
2020-05-14,0.5793473682151433
2020-05-15,0.6538507080408819
2020-05-16,0.5993572035488828
2020-05-17,0.6247601365005767
2020-05-18,0.6151917367621117
2020-05-19,0.6782388637950216
2020-05-20,0.6039530119792417
2020-05-21,0.6042771416937402
2020-05-22,0.5676342538755671
2020-05-23,0.5598123563518973
2020-05-24,0.581039382875759
2020-05-25,0.6039700235633565
2020-05-26,0.5985590234603926
2020-05-27,0.5880298316079876
2020-05-27,0.5687706267018665
2020-05-28,
2020-05-29,0.6633860269626494
2020-05-30,0.6173036024336281
2020-05-31,0.54743447403908
2020-05-31,
2020-06-01,0.7317370217530956
2020-06-03,0.6049909659148675
2020-06-04,0.5945691312154243
2020-06-04,0.6438674767765084
2020-06-05,0.5901595731819104
2020-06-07,0.5843821704022384
2020-06-08,0.6204351756062025
2020-06-08,0.583837198736577
2020-06-09,0.614108109685921
2020-06-10,0.4809877953779357
2020-06-11,0.7039362373811406
2020-06-12,0.5952882630015232
2020-06-13,0.5890985449007086
2020-06-14,0.5315515076399642
2020-06-15,0.5820533837158632
2020-06-16,0.5558472271432405
2020-06-17,0.5778490393488891
