,dom
2020-01-01,0.5599380394437103
2020-01-02,0.4781013665761141
2020-01-02,0.5877338749471235
2020-01-03,0.572200804403236
2020-01-05,0.5312817461273445
2020-01-06,0.5480618294409311
2020-01-06,0.5891771914282716
2020-01-07,0.6005926439066152
2020-01-09,0.5701634207364403
2020-01-10,0.4921772522608218
2020-01-10,0.6030919303263544
2020-01-11,0.6131602942249162
2020-01-12,0.5756952266460719
2020-01-13,
2020-01-14,0.6050053569400171
2020-01-14,0.45706737232847144
2020-01-15,0.6071808731272538
2020-01-16,
2020-01-17,0.5036143713301617
2020-01-18,0.5798097719651922
2020-01-19,0.4856172968061364
2020-01-20,0.45751728905705225
2020-01-21,0.5803015788974625
2020-01-22,0.5280825329862173
2020-01-23,0.55152378445052
2020-01-24,0.5429921578069857
2020-01-25,0.5418696427925344
2020-01-26,0.43825840372175273
2020-01-27,0.48533501841492177
2020-01-28,0.43985469173442465
2020-01-29,0.5107033224752952
2020-01-29,0.42707909937726857
2020-01-30,0.5338806411716538
2020-02-01,0.4484235414864417
2020-02-02,0.5058392367555548
2020-02-02,0.5212596362195617
2020-02-03,0.5514212702796576
2020-02-05,0.4285614246016729
2020-02-06,0.485700749349581
2020-02-06,0.48623167704669773
2020-02-07,0.525099959441965
2020-02-08,0.4052717131106477
2020-02-09,
2020-02-10,0.464915315967839
2020-02-10,0.4769351414997117
2020-02-11,0.5090864439690718
2020-02-12,
2020-02-13,0.5294319996767508
2020-02-14,0.4544551418096233
2020-02-15,0.5090917924461941
2020-02-16,0.46702338040864216
2020-02-17,0.5319203826030393
2020-02-18,0.45320724629713466
2020-02-19,0.5047379362539193
2020-02-20,0.4810227295641255
2020-02-21,0.5433450007366245
2020-02-22,0.45953153682681297
2020-02-23,0.5798257860151832
2020-02-24,0.49118320993843173
2020-02-25,0.44648263851475045
2020-02-25,0.5066513637805699
2020-02-26,0.5818787607755692
2020-02-28,0.5044442326506865
2020-02-29,0.4916091070661804
2020-02-29,0.5881769829787675
2020-03-01,0.5380997971133946
2020-03-03,0.4386096973486375
2020-03-04,0.5127198282462812
2020-03-04,0.4879102564896785
2020-03-05,0.534912516703508
2020-03-06,0.4340213848804527
2020-03-07,
2020-03-08,0.5211941145679024
2020-03-08,0.47786585230328593
2020-03-09,0.5326821920536036
2020-03-10,
2020-03-11,0.5524324026005327
2020-03-12,0.5020995017942942
2020-03-13,0.5254187522801065
2020-03-14,0.5182305116409971
2020-03-15,0.5913552724495956
