,dom
2020-01-01,0.44146234095979686
2020-01-02,0.5554773675169208
2020-01-02,0.6362019565807273
2020-01-03,0.5862647349608708
2020-01-04,0.45332948617323254
2020-01-05,0.6203144958751012
2020-01-06,0.6067152925636574
2020-01-06,0.46611859088546526
2020-01-07,0.5127486912585252
2020-01-08,
2020-01-09,0.5994443643575901
2020-01-10,0.5063761850975674
2020-01-11,0.5815282368374936
2020-01-12,0.5973834838481221
2020-01-13,0.5058639709972366
2020-01-14,0.43633988956129094
2020-01-15,0.6156381960185788
2020-01-16,0.5739408798638785
2020-01-17,0.49636527429062977
2020-01-18,0.5199467864908264
2020-01-19,0.608513220400167
2020-01-20,0.4666849422446315
2020-01-21,0.5058878999069079
2020-01-21,
2020-01-22,0.5418882720448533
2020-01-24,0.5430176669288596
2020-01-25,0.49444498126620334
2020-01-25,0.46982462128373087
2020-01-26,0.5105660713818331
2020-01-28,0.3965581680157657
2020-01-29,0.6089572986681087
2020-01-29,0.45294230274748704
2020-01-30,0.5379097142971975
2020-01-31,0.4147134673958657
2020-02-01,0.5092035338158916
2020-02-02,0.4667130019626949
2020-02-02,0.47374063770624947
2020-02-03,0.5046069034517098
2020-02-04,
2020-02-05,0.5048391445507421
2020-02-06,0.44591671433711927
2020-02-07,0.4742984790311159
2020-02-08,0.44530745729633453
2020-02-09,0.4954201705523245
2020-02-10,0.426987962605061
2020-02-11,0.48074125013864627
2020-02-12,0.45666342400583376
2020-02-13,0.5079032720738897
2020-02-14,0.4234831904757035
2020-02-15,0.49444110914941464
2020-02-16,0.4173356415979567
2020-02-17,
2020-02-17,0.5243763462407006
2020-02-18,0.5312994648702171
2020-02-20,0.40559464617252694
2020-02-21,0.48946053177596877
2020-02-21,0.5398871044612886
2020-02-22,0.5094431742226235
2020-02-24,0.5679568766735472
2020-02-25,0.5468796559279187
2020-02-25,0.43242995805991913
2020-02-26,0.48683643041246066
2020-02-27,0.3644121534578815
2020-02-28,0.49557729731245376
2020-02-29,0.6027534773830272
2020-02-29,0.4565302081879694
2020-03-01,0.5568682675140888
2020-03-02,
2020-03-03,0.5177489854284624
2020-03-04,0.597095342869199
2020-03-05,0.4836199486262251
2020-03-06,0.5503001827105252
2020-03-07,0.5405180704559462
2020-03-08,0.4536482027429375
2020-03-09,0.5241240794189562
2020-03-10,0.588270075798448
2020-03-11,0.6037094671291761
2020-03-12,0.47896799312599
2020-03-13,0.4693910389853746
2020-03-14,0.43656031302643145
2020-03-15,0.5901707470122695
2020-03-15,
2020-03-16,0.554116748481587
2020-03-18,0.4344491112232977
2020-03-19,0.5173154908343499
2020-03-19,0.5038971973581947
2020-03-20,0.5549732368225031
2020-03-22,0.4365923059105747
2020-03-23,0.4969410468802848
2020-03-23,0.5217926022576125
2020-03-24,0.5439902513425711
2020-03-25,0.420562432672648
2020-03-26,0.5435778466196207
2020-03-27,0.5414757416576756
2020-03-27,0.4947764582822783
2020-03-28,0.5532035781348538
2020-03-29,
2020-03-30,0.5949842003114849
