,Suspended Matter
2020-01-01,0.5565174784072103
2020-01-02,0.5335862915357354
2020-01-02,0.6337834494718416
2020-01-03,0.6218147981116275
2020-01-05,0.6014555171348515
2020-01-06,0.6138870977106454
2020-01-06,0.6268457178497545
2020-01-07,0.635094200827766
2020-01-09,0.632362943167852
2020-01-10,0.5800418406517212
2020-01-10,0.6352729147082355
2020-01-11,0.6452598792376593
2020-01-12,0.6372902970402943
2020-01-13,
2020-01-14,0.6421208802649512
2020-01-14,0.5411284824711221
2020-01-15,0.6463367669437172
2020-01-16,
2020-01-17,0.5475710550618026
2020-01-18,0.6365302865378301
2020-01-19,0.5518200383622931
2020-01-20,0.5375897454038887
2020-01-21,0.6181845019538541
2020-01-22,0.6081270716538618
2020-01-23,0.6058837661852365
2020-01-24,0.6139580574439965
2020-01-25,0.5623683371385553
2020-01-26,0.5353411160920686
2020-01-27,0.5617826504051648
2020-01-28,0.5294159456359762
2020-01-29,0.5643611987161615
2020-01-29,0.5370839019610439
2020-01-30,0.5760533170954658
2020-02-01,0.5399780747359195
2020-02-02,0.5771171196650269
2020-02-02,0.5477022844445025
2020-02-03,0.5616973042342636
2020-02-05,0.5079665088049387
2020-02-06,0.540440986972058
2020-02-06,0.539898860127036
2020-02-07,0.556195509408114
2020-02-08,0.5065849922217809
2020-02-09,
2020-02-10,0.5417716468595878
2020-02-10,0.5388267768165902
2020-02-11,0.5464747549255038
2020-02-12,
2020-02-13,0.5535638593683323
2020-02-14,0.5347739941993451
2020-02-15,0.5590380846007297
2020-02-16,0.5459005459098938
2020-02-17,0.5594099667157766
2020-02-18,0.5426705111201042
2020-02-19,0.5573170385601509
2020-02-20,0.5507440319270562
2020-02-21,0.5756040400402562
2020-02-22,0.5500705159588275
2020-02-23,0.6307706348539706
2020-02-24,0.5645051291597718
2020-02-25,0.5506937004257891
2020-02-25,0.5465977643776709
2020-02-26,0.6269135942287803
2020-02-28,0.5749950075634203
2020-02-29,0.540940354138708
2020-02-29,0.6377604278335529
2020-03-01,0.5633123424243892
2020-03-03,0.5206948760353014
2020-03-04,0.5501038316033438
2020-03-04,0.5494996473457305
2020-03-05,0.5615329055755262
2020-03-06,0.524114822842196
2020-03-07,
2020-03-08,0.5545313591590679
2020-03-08,0.5509239398476933
2020-03-09,0.5676672698340764
2020-03-10,
2020-03-11,0.5596156346952534
2020-03-12,0.5498568800101791
2020-03-13,0.5647217051749807
2020-03-14,0.5636556096839799
2020-03-15,0.6304469045723672
2020-03-16,0.6390900175848049
2020-03-17,0.5601199928918618
2020-03-18,0.5292697676548997
2020-03-19,0.572750902119647
2020-03-20,0.5400863331405731
2020-03-21,0.5963013204789899
2020-03-22,0.5644815762817039
2020-03-23,0.5933835286804238
2020-03-23,0.6036136939923205
2020-03-24,0.6056524153136993
2020-03-26,0.5542422322103225
2020-03-27,0.5845506243533258
2020-03-27,0.5681448765809143
2020-03-28,0.5869442008092638
2020-03-30,0.5389862644212857
2020-03-31,0.5635361837151195
2020-03-31,0.5509017864873171
2020-04-01,0.572498435378547
2020-04-02,0.5477723484022995
2020-04-03,
2020-04-04,0.5728141284048607
2020-04-04,0.5693024508203585
2020-04-05,0.5606000941377371
2020-04-06,
2020-04-07,0.5888825997311778
2020-04-08,0.5621703103256181
2020-04-09,0.5970831504837447
2020-04-10,0.586084048913676
2020-04-11,0.58429676921838
2020-04-12,0.5770665377806661
2020-04-13,0.5923838469062525
2020-04-14,0.5882819115881541
2020-04-15,0.5989545947264745
2020-04-16,0.5756587248062753
2020-04-17,0.5918159710570479
2020-04-18,0.6126506840387224
2020-04-19,0.5970224626227282
2020-04-19,0.5778422386405231
2020-04-20,0.6166891433919255
2020-04-22,0.56879436017243
2020-04-23,0.5991748830670984
2020-04-23,0.5739404081433195
2020-04-24,0.6216215742970252
2020-04-26,0.5839129537347257
2020-04-27,0.622990643387667
2020-04-27,0.6174510062535546
2020-04-28,0.5834376501186523
2020-04-29,0.5879372525873494
2020-04-30,
2020-05-01,0.5856910108944421
2020-05-01,0.6144686103896108
2020-05-02,0.6246563719126594
2020-05-03,
2020-05-04,0.6309464965990772
2020-05-05,0.6401734942213055
2020-05-06,0.6118256710534777
2020-05-07,0.5950135144831874
2020-05-08,0.6069011389592857
2020-05-09,0.5478891187858025
2020-05-10,0.5949888203176145
2020-05-11,0.5721926393330671
2020-05-12,0.5761175006859487
2020-05-13,0.5788996937653613
2020-05-14,0.5856406767524488
2020-05-15,0.5801925631504338
2020-05-16,0.5677600481113547
2020-05-16,0.5823773693137957
2020-05-17,0.6129628215082824
2020-05-19,0.5565440640249469
2020-05-20,0.5825351327526247
2020-05-20,0.5972348876807483
2020-05-21,0.6229971450082299
2020-05-23,0.6109581029384811
2020-05-24,0.6267071374197433
2020-05-24,0.6487927530210367
2020-05-25,0.6040717445266731
2020-05-26,0.5712613434138345
2020-05-27,
2020-05-28,0.5959233753648586
2020-05-28,0.5887353181433723
2020-05-29,0.6153119842752763
2020-05-30,
2020-05-31,0.6235322390037449
2020-06-01,0.6454361974094222
2020-06-02,0.5873003741263584
2020-06-03,0.6341415035961175
2020-06-04,0.6088268691421652
2020-06-05,0.5905112901181363
2020-06-06,0.6240495227988581
2020-06-07,0.6327451248998966
2020-06-08,0.5697632482558889
2020-06-09,0.6207726507989841
2020-06-10,0.5686164717951868
2020-06-11,0.5366325092118092
2020-06-12,0.5784939582137998
2020-06-12,0.5522232369792334
2020-06-13,0.6132588851806712
2020-06-15,0.5846105719204087
2020-06-16,0.6162702409699521
2020-06-16,0.6256751406938433
