,Suspended Matter
2020-01-01,0.4989399795322783
2020-01-02,0.6051656619914134
2020-01-02,0.5883797824073252
2020-01-03,0.6322044624049054
2020-01-04,0.566255963210142
2020-01-05,0.649647215811544
2020-01-06,0.6445209828603561
2020-01-06,0.5263734283676508
2020-01-07,0.5543880042466744
2020-01-08,
2020-01-09,0.6318593557718583
2020-01-10,0.573857535760087
2020-01-11,0.6257551592735661
2020-01-12,0.6392272014314035
2020-01-13,0.5493315899132025
2020-01-14,0.520002124259058
2020-01-15,0.6525062863641725
2020-01-16,0.6284683818184471
2020-01-17,0.5515480385848802
2020-01-18,0.5992859297179998
2020-01-19,0.6471226555180064
2020-01-20,0.5503891298554203
2020-01-21,0.5554883038178916
2020-01-21,
2020-01-22,0.5934806567731402
2020-01-24,0.6043339308960989
2020-01-25,0.543212259960657
2020-01-25,0.5440749697542598
2020-01-26,0.5569511975337285
2020-01-28,0.4932545436095816
2020-01-29,0.637288178938681
2020-01-29,0.5356875527384425
2020-01-30,0.5811591260248918
2020-01-31,0.5169692538575147
2020-02-01,0.5263522414204362
2020-02-02,0.507063023084049
2020-02-02,0.5540586778867727
2020-02-03,0.5380277326889592
2020-02-04,
2020-02-05,0.5410653029272844
2020-02-06,0.5220368902150222
2020-02-07,0.5234520749339363
2020-02-08,0.5181686244711673
2020-02-09,0.5484381009376642
2020-02-10,0.5247829636660211
2020-02-11,0.5401640618838159
2020-02-12,0.5360918682806787
2020-02-13,0.5454146903327631
2020-02-14,0.5237531373659992
2020-02-15,0.5356722994479659
2020-02-16,0.49008970104771343
2020-02-17,
2020-02-17,0.5515903989297288
2020-02-18,0.5661957863322682
2020-02-20,0.49745914774065714
2020-02-21,0.5423380664538879
2020-02-21,0.587940415502111
2020-02-22,0.5813515923345667
2020-02-24,0.629260690122956
2020-02-25,0.5967101346828585
2020-02-25,0.5246755569196012
2020-02-26,0.5465704050184415
2020-02-27,0.47555509466892343
2020-02-28,0.5242203179705678
2020-02-29,0.6499097656176634
2020-02-29,0.4953413181297745
2020-03-01,0.6054847156118186
2020-03-02,
2020-03-03,0.5499231993994269
2020-03-04,0.6389155875024521
2020-03-05,0.5360819209711798
2020-03-06,0.5997178580004595
2020-03-07,0.5583859763290573
2020-03-08,0.5421468001841081
2020-03-09,0.5458756233128155
2020-03-10,0.632839871627161
2020-03-11,0.6370248491470735
2020-03-12,0.5427869014728937
2020-03-13,0.5337308949154115
2020-03-14,0.5246624752432899
2020-03-15,0.632422630557506
2020-03-15,
2020-03-16,0.5559234232578157
2020-03-18,0.49347227514649666
2020-03-19,0.5318755149002181
2020-03-19,0.5429979176415198
2020-03-20,0.563944649835861
2020-03-22,0.49707651100750694
2020-03-23,0.5278423622254511
2020-03-23,0.5501817270307754
2020-03-24,0.5585587441347569
2020-03-25,0.49916444355415274
2020-03-26,0.5494286219067099
2020-03-27,0.5458977054845502
2020-03-27,0.543394249798461
2020-03-28,0.559440108555792
2020-03-29,
2020-03-30,0.5757745553395222
2020-03-31,0.5432913722336171
2020-04-01,0.5782159478743022
2020-04-02,0.5647202866613499
2020-04-03,0.570146827595164
2020-04-04,0.5545486526121691
2020-04-05,0.5941803265919564
2020-04-06,0.5954369361942303
2020-04-07,0.5861643698930643
2020-04-08,0.5532907656852522
2020-04-09,0.632146633520813
2020-04-10,0.6151255006692816
2020-04-11,
2020-04-11,0.6044118086797864
2020-04-12,0.6165095428868896
2020-04-14,0.6254840021024679
2020-04-15,0.5736387282935879
2020-04-15,0.5873463030755286
2020-04-16,0.6329907995152654
2020-04-18,0.6224932759355414
2020-04-19,0.5908433754600828
2020-04-19,0.6255292562320849
2020-04-20,0.5967155878535825
2020-04-21,0.6221050465053442
2020-04-22,0.6331581126759487
2020-04-23,0.6256435120039873
2020-04-23,0.6437077216534152
2020-04-24,0.6171606906752216
2020-04-25,
2020-04-26,0.6467516990746893
2020-04-27,0.6319363864471672
2020-04-28,0.6209825716111624
2020-04-29,0.6176224974317012
2020-04-30,0.5925640374009642
2020-05-01,0.5797514530033276
2020-05-02,0.6144496867529898
2020-05-03,0.6205383694182137
2020-05-04,0.6225821871971275
2020-05-05,0.579751333866826
2020-05-06,0.6004634374140213
2020-05-07,0.620654408532374
2020-05-08,
2020-05-08,0.6220885047059569
2020-05-09,0.6775485449718676
2020-05-11,0.6225395969355846
2020-05-12,0.6057589469873406
2020-05-12,0.5606251794655519
2020-05-13,0.6091963084086842
2020-05-15,0.6303230211925309
2020-05-16,0.5852989206607174
2020-05-16,0.5933485345793874
2020-05-17,0.6168193370875248
2020-05-18,0.597709695094929
2020-05-19,0.6789337702511031
2020-05-20,0.6349573446164911
2020-05-20,0.6014067077596412
2020-05-21,0.6126319092088324
2020-05-22,
2020-05-23,0.6706527504028494
2020-05-24,0.5987368353814868
2020-05-25,0.6279191458398609
2020-05-26,0.6252699133210909
2020-05-27,0.6364181754170091
2020-05-28,0.6073376027601782
2020-05-29,0.6261617524588083
2020-05-30,0.6400435834649205
2020-05-31,0.620123480043725
2020-06-01,0.6381052045831542
2020-06-02,0.6097744434902181
2020-06-03,0.5748983037871278
2020-06-04,
2020-06-04,0.6190794949854129
2020-06-05,0.6408821800859321
2020-06-07,0.6317793384788049
2020-06-08,0.6371027034745997
2020-06-08,0.5657884412745758
2020-06-09,0.5814854601575513
2020-06-11,0.538746069912916
2020-06-12,0.5676636774984557
2020-06-12,0.5730737357962647
2020-06-13,0.6098325725341102
2020-06-14,0.5435754273876261
2020-06-15,0.6078022254792439
2020-06-16,0.5931313512043369
2020-06-16,0.6140976609918924
2020-06-17,0.5782990056213682
2020-06-18,
2020-06-19,0.6213048492688668
2020-06-20,0.6261571504264659
2020-06-21,0.6002582912638249
2020-06-22,0.6235586316179635
2020-06-23,0.5912793936608071
2020-06-24,0.6222133938677544
2020-06-25,0.621090245237433
2020-06-26,0.6059090491691503
2020-06-27,0.5860914498256545
2020-06-28,0.6197380492140054
2020-06-29,0.6295395870174801
2020-06-30,0.5444709147070121
2020-07-01,
2020-07-01,0.627764680304619
2020-07-02,0.6270603549578551
2020-07-04,0.6228816244666304
2020-07-05,0.613739623719979
2020-07-05,0.5896430758616945
2020-07-06,0.6286607571867731
2020-07-08,0.6345859972934961
2020-07-09,0.5608924724056626
2020-07-09,0.5887179028275928
2020-07-10,0.623694064989469
2020-07-11,0.6278719884210435
2020-07-12,0.6159920882234896
2020-07-13,0.5482555325795612
2020-07-13,0.6228287783357089
2020-07-14,0.6205362597175155
2020-07-15,
2020-07-16,0.5953422980993157
2020-07-17,0.6248321498362197
2020-07-18,0.5410305856095197
2020-07-19,0.5853977688636725
2020-07-20,0.6249550073513912
2020-07-21,0.6062753573112238
2020-07-22,0.6193939511954288
2020-07-23,0.625525363821908
2020-07-24,0.5810852963754534
2020-07-25,0.5540817518354384
2020-07-26,0.5726257452826948
2020-07-27,0.6286536571067126
2020-07-28,
2020-07-28,0.5506311803127014
2020-07-29,0.6312995615937794
2020-07-31,0.6252246712137723
2020-08-01,0.5884959405758933
2020-08-01,0.5576295447214262
2020-08-02,0.5547868005209492
2020-08-04,0.5587935315540454
2020-08-05,0.6016084069223419
2020-08-05,0.564192261808593
2020-08-06,0.5825189875676594
2020-08-07,0.5317459230549632
2020-08-08,0.5548435128481953
2020-08-09,0.6137687187132479
2020-08-10,0.6055837163030008
2020-08-11,0.5209954093030388
2020-08-12,0.5860459362257299
2020-08-13,0.6059467238173538
2020-08-14,0.5273628746156047
2020-08-15,0.623111953655673
2020-08-16,0.5747561938221735
2020-08-17,0.5736976451498594
2020-08-18,0.5969665286725632
2020-08-19,0.6067986218618034
2020-08-20,0.6216143582366677
2020-08-21,0.5516435300552475
2020-08-22,0.6266077756573564
2020-08-23,0.5302085507920103
2020-08-24,0.5887487769853583
2020-08-24,0.621003864104768
2020-08-25,0.6043160826905799
2020-08-27,0.5882153786282001
2020-08-28,0.5966089511201821
2020-08-28,0.5794706895813461
2020-08-29,0.636065769115725
2020-08-31,0.5605281026358946
2020-09-01,0.6155877693821104
2020-09-01,0.6625476518278652
2020-09-02,0.60641631500845
2020-09-03,0.5656080138928813
2020-09-04,0.5908414874454551
2020-09-05,0.5233599601306552
2020-09-05,0.6273224117532913
2020-09-06,0.5661608169630091
2020-09-07,
2020-09-08,0.5807452424351098
2020-09-09,0.6011894807571448
2020-09-10,0.5444165591155877
2020-09-11,0.5645540010048407
2020-09-12,0.6267760382650751
2020-09-13,0.5700067386781426
2020-09-14,0.5764433153056225
2020-09-15,0.6027203198709551
2020-09-16,0.5495566507106872
2020-09-17,0.5356473783813384
2020-09-18,0.5530153241822567
2020-09-19,0.4869298655501159
2020-09-20,
2020-09-20,0.6246820969030773
2020-09-21,0.5786352953977085
2020-09-23,0.5239848119022884
2020-09-24,0.5504863644119544
2020-09-24,0.6151249176469469
2020-09-25,0.6090894419970623
2020-09-27,0.6276925472112469
2020-09-28,0.49297893061356346
2020-09-28,0.6325123938052801
2020-09-29,0.5149808473556685
2020-09-30,0.4779416125958297
2020-10-01,0.5080559098485363
2020-10-02,0.582108900763938
2020-10-02,0.49063053490348274
2020-10-03,0.5021989385886163
2020-10-04,
2020-10-05,0.5217452138305414
2020-10-06,0.4769374584371436
2020-10-07,0.49299902569086507
2020-10-08,0.5658077301453682
2020-10-09,0.48080022456969407
2020-10-10,0.5250153297826592
2020-10-11,0.5009059856789874
2020-10-12,0.5054427172249043
2020-10-13,0.4908109174385972
2020-10-14,0.4888650149257165
2020-10-15,0.5197993228219995
2020-10-16,0.49690371012631646
2020-10-17,
2020-10-17,0.5121953625430136
2020-10-18,0.5342512869636479
2020-10-20,0.4978220225180446
2020-10-21,0.5149928480818956
2020-10-21,0.5152927158431503
2020-10-22,0.5531047658038856
2020-10-24,0.519251380571991
2020-10-25,0.5229870541334981
2020-10-25,0.5409887003864348
2020-10-26,0.5514437142057073
2020-10-27,0.523805782456442
2020-10-28,0.5649485079021572
2020-10-29,0.5652432192202788
2020-10-29,0.5386235495975671
2020-10-30,0.5689386482896555
2020-10-31,
2020-11-01,0.6230269091429753
2020-11-02,0.5393782406955877
2020-11-03,0.5757029346939769
2020-11-04,0.5927697918986914
2020-11-05,0.5659637244841906
2020-11-06,0.5501554004086165
2020-11-07,0.5792066895945309
2020-11-08,0.5889461214528028
2020-11-09,0.584176775240112
2020-11-10,0.5599471066274535
2020-11-11,0.5786629160039517
2020-11-12,0.563146644937671
2020-11-13,
2020-11-13,0.5756225218630296
2020-11-14,0.5799953278961972
2020-11-16,0.6131547576364534
2020-11-17,0.5522854922748338
2020-11-17,0.5571316677835321
2020-11-18,0.5787968667843233
2020-11-20,0.5629018284643171
2020-11-21,0.5455016005570441
2020-11-21,0.5571310955607139
2020-11-22,0.5695909721438756
2020-11-23,0.5436355128810699
2020-11-24,0.5781171018530835
2020-11-25,0.5563040541234694
2020-11-25,0.5537592384887161
2020-11-26,0.5582764728241
2020-11-27,
2020-11-28,0.5825291580015022
2020-11-29,0.5474168100561447
2020-11-29,0.5249638302514517
2020-11-30,0.5668286938203013
2020-12-01,
2020-12-02,0.5570355238403266
2020-12-03,0.4982903938666255
2020-12-04,0.5310890422652745
2020-12-05,0.5188417763163624
2020-12-06,0.4824982288124568
2020-12-06,0.5453936630250192
2020-12-07,
2020-12-08,0.538824342462943
2020-12-09,0.4944383210639851
2020-12-10,0.5443586805403584
2020-12-10,
2020-12-11,0.5672959795286991
2020-12-12,0.5154209623090131
2020-12-13,0.5341113730781726
2020-12-14,0.5203467139595954
2020-12-14,
2020-12-15,0.47682447414481655
2020-12-16,0.4765569660080892
2020-12-17,
2020-12-18,0.5170473934998238
2020-12-18,0.5606750603948704
2020-12-19,0.5583750497166217
2020-12-20,0.4778042725465959
2020-12-21,0.5511221780856214
2020-12-22,0.5092525647839752
2020-12-22,0.5234480258702682
2020-12-23,0.5535512154008527
2020-12-24,
2020-12-25,0.5555453993238486
2020-12-26,0.5250721855728072
2020-12-26,0.4918225644354575
2020-12-27,0.5503978892421841
2020-12-28,
2020-12-29,0.54823255162883
2020-12-30,0.49403814516323435
2020-12-31,0.5262288628039614
2021-01-01,0.5069156892517981
2021-01-02,0.48153618350551686
2021-01-02,0.5436029704154817
2021-01-03,
2021-01-04,0.5365755295884794
2021-01-05,0.4938130313856312
2021-01-06,
2021-01-06,0.5655352214914431
2021-01-07,0.5824925101202775
2021-01-08,0.5229641134247501
2021-01-09,0.5776608549359297
2021-01-10,
2021-01-10,0.558874450939791
2021-01-11,0.5784176986398208
2021-01-12,0.4726854605577731
2021-01-13,
2021-01-14,0.5271591567234447
2021-01-14,0.5235190246018087
2021-01-15,0.5074103685218299
2021-01-16,0.5346370055207751
2021-01-17,0.6011721039542564
2021-01-18,0.5752538447446648
2021-01-18,0.5906066647628286
2021-01-19,0.5911214044934484
2021-01-20,
2021-01-21,0.5592985342251857
2021-01-22,0.5283496457587414
2021-01-22,0.48394140801714064
2021-01-23,0.5915851009988523
2021-01-24,
2021-01-25,0.604801490685864
2021-01-26,0.5633471659714938
2021-01-27,0.5935898285089483
2021-01-28,0.5914846338441532
2021-01-29,0.5600493211565095
2021-01-29,0.5974262155131582
2021-01-30,
2021-01-31,0.5743463062021348
2021-02-01,0.578001882801577
2021-02-02,0.5365332270501465
2021-02-02,0.47442114355200765
2021-02-03,0.5675982900970877
2021-02-04,0.5322795825480582
2021-02-05,0.47826060491520594
2021-02-06,0.5595719636586409
2021-02-06,
2021-02-07,0.5419367097809945
2021-02-08,0.4527239389892602
2021-02-09,
2021-02-10,0.5227544609064307
2021-02-10,0.5201962430850289
2021-02-11,0.5401566983759075
2021-02-12,0.44632333825088594
2021-02-13,0.5408676914355576
2021-02-14,0.5086438588740064
2021-02-14,0.5147721176514155
2021-02-15,0.5475137577320309
2021-02-16,
2021-02-17,0.5653779563143025
2021-02-18,0.5145757494690673
2021-02-18,0.5435554441063175
2021-02-19,0.5449269457975436
2021-02-20,
2021-02-21,0.5568534544107174
2021-02-22,0.5014456645334286
2021-02-23,0.5468979276981066
2021-02-24,0.5175520632758673
2021-02-25,0.5804706384691926
2021-02-25,0.5062735365792893
2021-02-26,
2021-02-27,0.572038291394383
2021-02-28,0.5157904874992496
2021-03-01,0.562173365031215
2021-03-01,
2021-03-02,0.6164465886410653
2021-03-03,0.5699010972895453
2021-03-04,0.5118924162652044
2021-03-05,0.5742400978465864
2021-03-06,
2021-03-07,0.5057762028314801
2021-03-08,
2021-03-09,0.5627510000128543
2021-03-09,0.5574824828285448
2021-03-10,0.5941604111823625
2021-03-11,0.49256859600064234
2021-03-12,0.6007151411048939
2021-03-13,0.541036027986659
2021-03-13,0.552977692350869
2021-03-14,0.5756892944810033
2021-03-15,
2021-03-16,0.6066427020565058
2021-03-17,0.5422217306443394
2021-03-17,0.5755041501354357
2021-03-18,0.5841405044728832
2021-03-19,
2021-03-20,0.5882417091470307
2021-03-21,0.554751040347567
2021-03-22,0.5674902158287307
2021-03-23,0.5603734518015194
2021-03-24,0.5923883502409909
2021-03-24,0.552247502529184
2021-03-25,
2021-03-26,0.599452317493838
2021-03-27,0.5851705726588772
2021-03-28,0.6084811427198482
2021-03-28,
2021-03-29,0.6076748424522033
2021-03-30,0.5790331761549963
2021-03-31,0.5433108740278401
2021-04-01,0.603210999156234
2021-04-01,
2021-04-02,0.6437377506510034
2021-04-03,0.5810954942705432
2021-04-04,
2021-04-05,0.5990993822030037
2021-04-05,0.5958551643214007
2021-04-06,0.6234027738611927
2021-04-07,0.5618466002597384
2021-04-08,0.6238070979120635
2021-04-09,0.6183914956437336
